User Id,Question,tags,image name
,This is a test question for test data inserting script v 2.0,"iiit hyd,iit hyd",__UNLINK__
,How is IIIT hyd compared to IIIT Allahabad?,"iiit hyd,iiit allahabad",__UNLINK__
,Which IITs are better?,iit,__UNLINK__
,"Which is the best IIT among IIT Delhi, IIT Kanpur, IIT Kharagpur and IIT roorkee?","iit delhi,iit kanpur,iit kharagpur,iit roorkee",__UNLINK__
,What is the status of IIIT Vadodara?,iiit vadodara,__UNLINK__
,What is the fees structure of IIIT Vadodara?,"iiit vadodara,fees",__UNLINK__
,What are things are taught at IIIT Vadodara?,iiit vadodara,__UNLINK__
,Which is best college for CS? ,cs,__UNLINK__
,This is a test Question for test data for viewing answer sorting algo?,"iit,iiit",__UNLINK__
,What all courses are taught at IIIT Hyd?,iiit hyd,__UNLINK__
,What all courses are taught at IIIT Delhi?,iiit delhi,__UNLINK__
,What all to do for getting admission in MIT?,mit,__UNLINK__
,How to prepare for GATE?,"gate,iit",__UNLINK__
,How to prepare for SAT and TOEFL?,"sat,toefl",__UNLINK__
,is IIT Delhi better than IIIT hyd?,"iit delhi,iiit hyd",__UNLINK__
,What are some good IIITs?,iiit,__UNLINK__
,"Which is better, BITS Pilani Hyd campus or BITS Pilani goa campus?",bits pilani,__UNLINK__
,Is ISB better or IIM A?,"isb,iim ahmedabad",__UNLINK__
,What are some best business schools in India?,B-schools,__UNLINK__
,Which is the top NIT?,nit,__UNLINK__
,"Which NIT is better, NIT trichy or NIT warangal?","nit trichy,nit warangal",__UNLINK__
,is NIT Delhi better or NIT Goa?,"nit delhi,nit goa",__UNLINK__
